#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
64,"3/14/2026 2:42:14.334 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=11),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=04 00 00 00 00 00 00 00 00 00",LL_ACK
65,"3/14/2026 2:42:14.358 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=11),,"",LL_ACK
66,"3/14/2026 2:42:14.429 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=11),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=$00",LL_ACK
67,"3/14/2026 2:42:14.463 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=11),,"",LL_ACK
68,"3/14/2026 2:42:14.556 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=12),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=04 00 00 00 00 00 00 00 00 00",LL_ACK
69,"3/14/2026 2:42:14.578 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=12),,"",LL_ACK
70,"3/14/2026 2:42:14.653 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=12),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$00",LL_ACK
71,"3/14/2026 2:42:14.702 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=12),,"",LL_ACK
72,"3/14/2026 2:42:14.806 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=13),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=04 00 00 00 00 00 00 00 00 00",LL_ACK
73,"3/14/2026 2:42:14.823 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=13),,"",LL_ACK
74,"3/14/2026 2:42:14.894 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=13),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=$00",LL_ACK
75,"3/14/2026 2:42:14.931 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=13),,"",LL_ACK
76,"3/14/2026 2:42:15.036 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=14),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=04 00 00 00 00 00 00 00 00 00",LL_ACK
77,"3/14/2026 2:42:15.047 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=14),,"",LL_ACK
78,"3/14/2026 2:42:15.125 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=14),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=$00",LL_ACK
79,"3/14/2026 2:42:15.161 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=14),,"",LL_ACK
