#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
68,"3/14/2026 2:37:31.894 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=11),,"",LL_ACK
69,"3/14/2026 2:37:31.988 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=12),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=04 00 00 00 00 00 00 00 00 00",LL_ACK
70,"3/14/2026 2:37:32.007 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=12),,"",LL_ACK
71,"3/14/2026 2:37:32.081 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=12),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$00",LL_ACK
72,"3/14/2026 2:37:32.112 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=12),,"",LL_ACK
73,"3/14/2026 2:37:32.204 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=13),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=04 00 00 00 00 00 00 00 00 00",LL_ACK
74,"3/14/2026 2:37:32.225 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=13),,"",LL_ACK
75,"3/14/2026 2:37:32.300 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=13),,"ObjectIndex=2, PropertyId=5, Count=1, StartIndex=1, Data=$00",LL_ACK
76,"3/14/2026 2:37:32.351 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=13),,"",LL_ACK
77,"3/14/2026 2:37:32.446 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=14),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=04 00 00 00 00 00 00 00 00 00",LL_ACK
78,"3/14/2026 2:37:32.477 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=14),,"",LL_ACK
79,"3/14/2026 2:37:32.554 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=14),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=$00",LL_ACK
80,"3/14/2026 2:37:32.584 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=14),,"",LL_ACK
81,"3/14/2026 2:37:32.679 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,FunctionPropertyExtCommand (S=15),,"ObjectType=17, Instance=1, PropertyId=5, Command=04 00 00 00 00 00 00 00 00 00",LL_ACK
82,"3/14/2026 2:37:32.698 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=15),,"",LL_ACK
83,"3/14/2026 2:37:32.777 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,FunctionPropertyExtState_Response (S=15),,"ObjectType=17, Instance=1, PropertyId=5, ReturnCode=0",LL_ACK
84,"3/14/2026 2:37:32.810 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=15),,"",LL_ACK
85,"3/14/2026 2:37:32.902 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=0),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
86,"3/14/2026 2:37:32.924 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=0),,"",LL_ACK
87,"3/14/2026 2:37:32.997 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=0),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
88,"3/14/2026 2:37:33.024 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=0),,"",LL_ACK
89,"3/14/2026 2:37:33.121 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=1),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 14 00 00 00 00",LL_ACK
90,"3/14/2026 2:37:33.137 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=1),,"",LL_ACK
91,"3/14/2026 2:37:33.213 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=1),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
92,"3/14/2026 2:37:33.240 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=1),,"",LL_ACK
93,"3/14/2026 2:37:33.330 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=2),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
94,"3/14/2026 2:37:33.355 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=2),,"",LL_ACK
95,"3/14/2026 2:37:33.427 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=2),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
96,"3/14/2026 2:37:33.455 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=2),,"",LL_ACK
97,"3/14/2026 2:37:33.551 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=3),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 58 00 00 00 00",LL_ACK
98,"3/14/2026 2:37:33.570 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=3),,"",LL_ACK
99,"3/14/2026 2:37:33.641 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=3),,"ObjectIndex=3, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
100,"3/14/2026 2:37:33.677 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=3),,"",LL_ACK
101,"3/14/2026 2:37:33.770 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=4),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
102,"3/14/2026 2:37:33.793 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=4),,"",LL_ACK
103,"3/14/2026 2:37:33.876 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=4),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
104,"3/14/2026 2:37:33.906 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=4),,"",LL_ACK
105,"3/14/2026 2:37:33.997 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=5),,"ObjectIndex=1, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 20 00 00 00 00",LL_ACK
